quotes_USD_price,circulating_supply,id,quotes_USD_percent_change_7d,symbol,website_slug,max_supply,quotes_USD_volume_24h,quotes_USD_percent_change_1h,name,last_updated,total_supply,rank,quotes_USD_percent_change_24h,quotes_USD_market_cap
0.545499,6389829,2674,51.32,MSR,masari,18500000,11146.7,-1.05,Masari,1531696782,6389829,646,-1.15,3485645
0.041723,385363656,2675,-18.51,DOCK,dock,,1063240,-0.87,Dock,1531696780,1000000000,326,-1.7,16078528
0.156983,4997395,2676,-37.1,PHI,phi-token,,256.848,14.58,PHI Token,1531696783,14109443,1062,-27.92,784506
0.0293592,112776150,2677,-6.11,LNC,linker-coin,,2929.41,-0.09,Linker Coin,1531696783,500000000,657,1,3311018
0.018172,,2678,-20.5,BBC,b2bcoin,,426284,-0.24,TraDove B2BCoin,1531696783,393192965,1429,-3.66,
0.0233564,,2679,53.55,DML,decentralized-machine-learning,,874.095,-0.18,Decentralized Machine Learning,1531696782,272937007,1537,20.4,
0.00735576,547522129,2680,-5.44,HBZ,helbiz,,582772,-1.04,Helbiz,1531696783,1005250000,612,2.62,4027441
0.12593,4225879,2681,-12.65,ORI,origami,,746.797,-0.18,Origami,1531696782,5527379,882,-3.79,532165
0.000389549,1.33215E+11,2682,-18.08,HOT,holo,,970403,-1.12,Holo,1531696781,1.77619E+11,145,2.05,51893605
0.0221472,83622443,2683,0.04,TRAK,trakinvest,,1296.87,-0.18,TrakInvest,1531696781,155294118,745,4.1,1852003
0.166417,36616301,2684,-8.27,APH,aphelion,,233982,0.1,Aphelion,1531696782,70188440,517,9.56,6093575
0.0320073,470992683,2685,-20.57,ZCO,zebi,1000000000,216615,-1.9,Zebi,1531696781,500000000,335,-0.26,15075204
0.00615271,594772963,2686,-2.57,LND,lendingblock,,14779.1,-0.18,Lendingblock,1531696783,1000000000,636,15.01,3659466
0.0301974,198240350,2687,-51.92,XES,proxeus,,239144,-0.79,Proxeus,1531696782,300000000,520,9.66,5986343
0.000319122,,2688,-15.05,VIPS,vipstar-coin,,14148.9,-0.09,Vipstar Coin,1531696783,60078425394,1501,24.57,
0.134796,,2689,-35.11,RBLX,rublix,,206725,0.11,Rublix,1531696782,100000000,1452,13.2,
0.0183739,30900316,2690,-45.95,BTRN,biotron,,238.719,42.16,Biotron,1531696782,1000000000,1084,54.93,567759
0.00272807,,2691,-57.5,PNT,penta,1E+11,1823960,0.2,Penta,1531696782,50000000000,1395,-3.21,
0.00511174,1162684117,2692,-19.01,NBAI,nebula-ai,,118947,-0.36,Nebula AI,1531696781,4770681725,521,1.82,5943339
0.243301,,2693,-31.3,LRN,loopring-neo,,92375.1,-0.22,Loopring [NEO],1531696781,139507605,1470,2.84,
0.0950191,560000010,2694,-13.42,NEXO,nexo,,1753730,-0.33,Nexo,1531696781,1000000000,142,2.67,53210697
0.0195846,163983190,2695,-7.59,VME,verime,,252671,0.18,VeriME,1531696781,400000000,661,5.48,3211545
0.0745921,370300000,2696,-23.09,DAX,daex,,8433540,-0.14,DAEX,1531696781,2000000000,224,6.33,27621455
0.00803214,3089573039,2698,31.9,HYDRO,hydrogen,,412640,1.13,Hydro,1531696781,11111111111,246,-4.2,24815883
0.0197958,283282765,2699,-6.2,SS,sharder,500000000,236386,-1.51,Sharder,1531696782,350000000,536,22.43,5607809
0.049708,302061999,2701,-14.36,TTT,trustnote,,1506050,-0.91,TrustNote,1531696782,500000000,337,6.98,15014898
1.96093,18326892,2702,-4.23,BCI,bitcoin-interest,22300000,19911.2,-0.09,Bitcoin Interest,1531696841,18326892,192,7.5,35937751
0.0437303,154938285,2703,2.55,BETR,betterbetting,,7075.9,-0.66,BetterBetting,1531696899,200585763,496,-2.18,6775498
0.0089654,35179544,2704,-55.38,TNS,transcodium,,157991,-1.63,Transcodium,1531696842,88600000,920,-2.41,315399
0.00593537,200744699,2705,-4.91,AMN,amon,,6003.95,0.09,Amon,1531696842,1209963685,794,10.62,1191494
0.0644626,5472115,2706,-10.1,PLAN,plancoin,35000000,110748,0.24,Plancoin,1531696782,5472115,913,2.35,352747
0.0482885,44730000,2707,1.91,FLP,flip,,180347,-0.23,FLIP,1531696841,100000000,719,3.43,2159945
0.0226696,448903600,2708,-22.23,CMCT,crowd-machine,,1389900,-0.03,Crowd Machine,1531696843,2000000000,412,5.41,10176465
0.0209429,176560198,2709,-8.01,MITX,morpheus-labs,,642015,-3.6,Morpheus Labs,1531696843,800000000,634,9.75,3697683
